Protein_Group	Genes	TRM_day30_vs_MoMacs_day30_logFC	TRM_day30_vs_MoMacs_day30_pval	Removed?	Contaminant?
A2ASS6	Ttn	3.06215316357413	0.0048567483126107	No	No
O09043	Napsa	2.79426744331655	2.02490724491951e-06	No	No
O55137	Acot1	7.88549214479534	7.81515324575084e-08	No	No
P12710	Fabp1	9.43859019147905	1.44549176733142e-15	No	No
P16406	Enpep	4.07258622579198	0.0006631326249415	No	No
P50405	Sftpb	6.17492934345551	4.00277815660438e-12	No	No
P85094	Isoc2a	4.0747609069957	0.0028029329150282	No	No
Q00493	Cpe	3.67619494707577	0.0001404089324539	No	No
Q5SQ27	Sec14l3	5.09102042378259	5.07112005549101e-06	No	No
Q5SVL6	Rap1gap2	2.78950837753644	0.0008760993685011	No	No
Q60767	Ly75	2.57708614546117	0.0062297746290105	No	No
Q61503	Nt5e	2.8057249464994	0.0013718475224294	No	No
Q6PHU5	Sort1	2.91700719476969	0.0030746427244647	No	No
Q810A7	Ddx42	4.91673609665747	0.005940779019718	No	No
Q8BFR4	Gns	2.03543101227039	0.00757486795302	No	No
Q91XA9	Chia	5.42509684799707	2.44196010277248e-10	No	No
Q99J08	Sec14l2	4.77905329499877	8.12126606391077e-07	No	No
Q9R257	Hebp1	2.93536592777019	0.0050567111271656	No	No
Q9Z0J0	Npc2	2.34360006087977	0.0036075970753259	No	No
A0A0U1RNF2	Lcmt1	-3.91301664484258	0.0010553090500698	No	No
A2A432	Cul4b	-3.18200197748444	0.0039323618799848	No	No
A2A4P0	Dhx8	-3.29168565587369	0.0079569491315824	No	No
A2AGT5	Ckap5	-5.0725134359142	0.0029523384416864	No	No
A2AIV2	Virma	-4.62097661023298	3.33290499968832e-05	No	No
A2AN08	Ubr4	-6.31985120118404	9.91261316371167e-05	No	No
A2AQ19	Rtf1	-3.17509407046971	0.0054776075546608	No	No
A2AR02	Ppig	-3.28824697583054	0.0031448823683323	No	No
A2BH40	Arid1a	-3.88486933017508	0.0007298216819453	No	No
A3KGF7	Plcb2	-3.45777303308951	0.0064887018120968	No	No
A3KMP2	Ttc38	-2.81818695961752	0.0072772623118706	No	No
B1AUN2	Eif2b3	-4.11075264726964	0.0003953342500976	No	No
B1AY13	Usp24	-3.44264093319435	0.0003534700284171	No	No
B2RV77	Cstdc4	-5.29016535940944	2.3503777365362e-06	No	No
B2RXR6	Ankrd44	-3.36000400675358	0.0011643343902171	No	No
D3YXK2	Safb	-3.03027764657812	0.0027909606898417	No	No
D3Z0M9	Ddx23	-2.43298981778377	0.006542719866016	No	No
D4AFX7	Dnajc13	-4.31200902298982	0.0012582560112057	No	No
E9PVA8	Gcn1	-3.80353482139882	0.0090316004685062	No	No
E9PY16	Adap1	-5.94526296919831	1.54346993335066e-09	No	No
E9Q2M9	Wdfy4	-3.75024676672479	4.72331515014162e-05	No	No
E9Q4P1	Wdfy1	-7.75084303900226	1.20876459051572e-06	No	No
E9Q555	Rnf213	-6.29641880242041	2.69518519605205e-07	No	No
E9Q735	Ube4a	-3.66121684644108	0.0061633512163787	No	No
E9Q7G0	Numa1	-3.65938817629699	0.0067381239690239	No	No
E9Q912	Rap1gds1	-2.3818155262871	0.0008029061692695	No	No
F6ZDS4	Tpr	-3.8055820455814	0.0042898346094648	No	No
F8VPN4	Agl	-3.36563011680226	0.0024665436648505	No	No
F8VQ05	Fryl	-2.75574041635812	0.00261338077848	No	No
F8VQC1	Srp72	-5.13087403044708	0.0003066293335875	No	No
G3X8U3	2210016F16Rik	-2.29483399319053	0.0029818598304584	No	No
G5E8V9	Arfip1	-3.27777516837878	0.004384476293221	No	No
O08539	Bin1	-4.55636262444869	8.47894665832501e-08	No	No
O08573	Lgals9	-5.46319875529811	4.76380897941583e-07	No	No
O08582	Gtpbp1	-3.97440792915618	0.0019763712212713	No	No
O08585	Clta	-2.45306390469381	0.0091347858646102	No	No
O08692	Ngp	-7.8472804119294	6.02321788028646e-13	No	No
O08709	Prdx6	-2.47334567432314	0.0058321208751381	No	No
O08784	Tcof1	-3.76719856354782	3.20355899901431e-05	No	No
O08797	Serpinb9	-4.01730040956425	7.7232453928622e-05	No	No
O08800	Serpinb8	-5.81638947907736	2.63581854900484e-05	No	No
O08808	Diaph1	-3.68573275289463	0.0048714002603131	No	No
O08810	Eftud2	-2.17138205932901	0.005901678966855	No	No
O08997	Atox1	-4.50698811153371	5.69484946556776e-08	No	No
O09167	Rpl21	-5.0211109777807	0.0003908129150999	No	No
O35226	Psmd4	-3.6105343686507	0.0003690502578127	No	No
O35242	Nsmaf	-3.64041240703444	3.4595972083646e-05	No	No
O35250	Exoc7	-2.04610913959644	0.007603505008696	No	No
O35309	Nmi	-3.18715559002835	1.62767972569627e-05	No	No
O35382	Exoc4	-5.16715892624071	0.0006842822813944	No	No
O35638	Stag2	-3.77182847178823	7.09900816911054e-05	No	No
O35691	Pnn	-5.47814865969222	5.2592571573996e-05	No	No
O35892	Sp100	-6.66841643645152	1.17655929391127e-05	No	No
O35904	Pik3cd	-5.04313790162461	1.19190472867289e-06	No	No
O35955	Psmb10	-2.79565389764149	0.0001841953453772	No	No
O54940	Bnip2	-2.68107534961377	0.0012658608732653	No	No
O54950	Prkag1	-3.70326572126213	0.0005024030764203	No	No
O54962	Banf1	-2.81711695151858	0.0064351281642778	No	No
O55201	Supt5h	-5.41569023740278	0.0007777009415539	No	No
O55222	Ilk	-2.76708841816254	0.0030482152592677	No	No
O70133	Dhx9	-3.02161360522971	0.0004204449500361	No	No
O70138	Mmp8	-6.45513252484584	6.80668138406188e-12	No	No
O70145	Ncf2	-5.42212514241085	0.0001894524408834	No	No
O70200	Aif1	-9.15715333174414	5.23765872151069e-10	No	No
O70325	Gpx4	-3.23928694300214	9.52924298949975e-06	No	No
O70439	Stx7	-3.35147365837914	0.0079347022809787	No	No
O70492	Snx3	-3.60450877210256	0.0011264294794729	No	No
O70566	Diaph2	-3.37384536348374	0.0012651190398424	No	No
O88351	Ikbkb	-4.83595637718188	2.52522898759614e-07	No	No
O88428	Papss2	-6.9096936116877	1.04175401378873e-05	No	No
O88544	Cops4	-2.39198727538524	0.0058218226279573	No	No
O88593	Pglyrp1	-4.83769911280146	1.1400467163512e-07	No	No
O88712	Ctbp1	-3.60693254136446	0.0005769224791942	No	No
O88879	Apaf1	-6.37526482514488	2.35340676072706e-05	No	No
O88968	Tcn2	-4.89121713417668	9.835269746801551e-09	No	No
O89017	Lgmn	-3.31770687335649	0.0070557412912584	No	No
O89053	Coro1a	-2.646846742666	0.0007587940455952	No	No
P01027	C3	-3.83845996930827	0.0001971576613274	No	No
P01872	Ighm	-8.34141250336506	9.398101596125569e-11	No	No
P01887	B2m	-2.47431496650902	0.0021245738280448	No	No
P02301;P84244	H3-3b;H3-5	-4.7923016122477	1.47914081049485e-05	No	No
P03958	Ada	-5.62732748186673	1.56961146746539e-06	No	No
P05132	Prkaca	-3.39486316537312	0.0006526965101457	No	No
P05201	Got1	-2.27328272369093	0.0078613208259632	No	No
P05555	Itgam	-6.53118889117213	5.60426345665607e-08	No	No
P06745	Gpi	-2.42485809280791	1.7352415853969e-05	No	No
P07091	S100a4	-5.2196054733725	2.56382386704409e-06	No	No
P07742	Rrm1	-4.05081066511769	0.0096719772335303	No	No
P08071	Ltf	-6.18047821774874	5.5812054579133e-11	No	No
P08101	Fcgr2	-2.15481193032832	0.0002483299788707	No	No
P08103	Hck	-2.74500846563997	0.0025833646583111	No	No
P08226	Apoe	-5.1229836631456	2.84177077467669e-05	No	No
P08228	Sod1	-2.59897766073714	0.0004646555431269	No	No
P08775	Polr2a	-4.45413018688007	0.0033339956116327	No	No
P09405	Ncl	-2.5752066873631	0.0063013871094664	No	No
P09470	Ace	-2.57978375625869	0.003504123114401	No	No
P0C0S6;Q3THW5	H2az1;H2az2	-4.27883781639566	2.26090978010793e-05	No	No
P0DOV2	Ifi204	-4.76921478279587	6.36910636836434e-06	No	No
P10107	Anxa1	-2.06775592255837	0.0025385958284615	No	No
P10853;P10854;Q64475;Q64478;Q64525;Q6ZWY9;Q8CGP1;Q8CGP2	H2bc12;H2bc14;H2bc15;H2bc3;H2bc8;H2bc9;Hist1h2bp;Hist2h2bb	-3.83890641159054	0.0001856143090309	No	No
P11031	Sub1	-3.41200042369736	3.92020438621138e-05	No	No
P11103	Parp1	-3.39816265459563	0.0006088472836398	No	No
P11352	Gpx1	-3.09688329734938	8.26250215148072e-06	No	No
P11440	Cdk1	-3.76576271361832	9.3135294633961e-05	No	No
P11672	Lcn2	-6.29453739178935	4.27810742703497e-10	No	No
P11835	Itgb2	-3.61460862479447	2.42393206659715e-06	No	No
P11983	Tcp1	-2.34631214358273	0.0078009223409211	No	No
P12388	Serpinb2	-4.80293438365296	1.35119801134648e-06	No	No
P13020	Gsn	-2.56977537437642	0.0031748209196467	No	No
P13864	Dnmt1	-5.42326611576778	4.76268654899469e-06	No	No
P14069	S100a6	-3.31352121627761	4.05058478172535e-05	No	No
P14148	Rpl7	-4.87137410911756	0.0058343154774804	No	No
P14685	Psmd3	-2.31715157940991	0.0083107092140509	No	No
P14733	Lmnb1	-2.63537141226611	0.0074734441116951	No	No
P14869	Rplp0	-2.22748512576294	0.0099599890369776	No	No
P15307	Rel	-4.0547861570176	1.14178187419573e-05	No	No
P15864	H1-2	-4.47140482308542	2.9264745039591e-06	No	No
P16460	Ass1	-4.33722297529886	0.000648755425223	No	No
P17182	Eno1	-2.07182796663226	0.0015584781642265	No	No
P17918	Pcna	-2.45287437652212	0.0025273593408376	No	No
P18653	Rps6ka1	-6.44799760842213	4.2116880358519003e-10	No	No
P18654	Rps6ka3	-4.29251566682543	0.0043287824116915	No	No
P22682	Cbl	-4.09170498558231	0.0003317490794469	No	No
P22907	Hmbs	-5.99248466673736	1.07408553755898e-06	No	No
P23116	Eif3a	-3.23789225898474	0.0046845796784213	No	No
P23198	Cbx3	-2.96537349662592	0.0007885742903366	No	No
P23249	Mov10	-5.28896864002808	1.93248771809547e-07	No	No
P24527	Lta4h	-2.15129718776383	4.46119097302218e-05	No	No
P25206	Mcm3	-5.61424531538269	0.0009647622488504	No	No
P25911	Lyn	-3.28973303756272	0.00668044840009	No	No
P25976	Ubtf	-6.73124902480275	2.80493245125047e-06	No	No
P26039	Tln1	-2.41480069061568	0.0002251783239704	No	No
P26369	U2af2	-3.54638229692362	0.0013226813700293	No	No
P26450	Pik3r1	-6.15920508444685	3.60291962870905e-05	No	No
P27005	S100a8	-4.88654978443625	1.46602255176843e-08	No	No
P27546	Map4	-4.96305597953325	0.0032628224504399	No	No
P27870	Vav1	-4.50907933829186	0.0001068553994319	No	No
P28076	Psmb9	-2.11287933668478	0.000597724694735	No	No
P28293	Ctsg	-6.17910620218241	1.588650060765e-09	No	No
P28650	Adss1	-5.97965815903257	2.84580776332756e-06	No	No
P28659	Celf1	-3.16687771486599	0.0006040077029721	No	No
P28665	Mug1	-4.72603310456338	0.0028433398054211	No	No
P28867	Prkcd	-4.29207777292462	1.75739300907164e-05	No	No
P29351	Ptpn6	-2.20873029440822	0.0013052748579903	No	No
P29452	Casp1	-4.79638431965982	1.25836401096728e-05	No	No
P29758	Oat	-3.25091678915068	5.90218944342056e-05	No	No
P29788	Vtn	-5.91026413934988	1.16286505154094e-08	No	No
P30681	Hmgb2	-3.36347669486078	4.52531779810814e-05	No	No
P31230	Aimp1	-4.04458040010958	0.0005737951834179	No	No
P31266	Rbpj	-5.79788485462582	4.70998062358444e-05	No	No
P31725	S100a9	-7.02016421377674	8.10858212275746e-10	No	No
P32067	Ssb	-3.03715285259216	0.0034854615956166	No	No
P32921	Wars1	-3.9752031179875	0.0015877646330184	No	No
P34884	Mif	-3.10000436370484	0.0016534916525454	No	No
P35174	Stfa2	-5.2876124886159	1.79822783689823e-07	No	No
P35282	Rab21	-3.44986559771736	0.0002476478775413	No	No
P35441	Thbs1	-4.72719273530672	1.42957918577766e-05	No	No
P35486	Pdha1	-7.75079211506245	1.14558971549251e-06	No	No
P35831	Ptpn12	-4.07988391910719	0.0004933734616211	No	No
P35922	Fmr1	-4.45112099758566	0.0005483168989192	No	No
P35980	Rpl18	-3.62406673179231	0.0014119042523587	No	No
P35991	Btk	-4.53615492227863	0.0005766542501229	No	No
P36552	Cpox	-6.58861793327256	1.5201870298038e-05	No	No
P39654	Alox15	-14.2782744647417	1.09936039188682e-13	No	No
P39749	Fen1	-3.22813385353998	0.0042963907663617	No	No
P41105	Rpl28	-3.54190588003683	0.0075715794568813	No	No
P41216	Acsl1	-5.35799889272671	0.0002334536247998	No	No
P41245	Mmp9	-6.4522846022302	2.38542727305948e-10	No	No
P42225	Stat1	-3.34696110821275	0.0002043919622093	No	No
P42230	Stat5a	-2.77040491765392	0.0003584648257655	No	No
P42232	Stat5b	-2.50009826663018	0.00408900116695	No	No
P42567	Eps15	-4.81568064312316	1.70096427410434e-06	No	No
P43247	Msh2	-5.75030842297825	3.767154567115581e-09	No	No
P43274	H1-4	-4.42706439941652	3.33673643446162e-06	No	No
P43275	H1-1	-4.71868541413381	3.55043606993532e-06	No	No
P43276	H1-5	-3.97767942897062	0.0006930414507171	No	No
P43277	H1-3	-6.47171676187492	1.20031770882707e-11	No	No
P43346	Dck	-3.3216659962809	3.88117746555862e-06	No	No
P47226	Tes	-4.85853219259314	1.2391249153811e-05	No	No
P47738	Aldh2	-3.71575710860279	0.0031045463653371	No	No
P47758	Srprb	-3.21870588952131	0.0048076447918736	No	No
P47811	Mapk14	-2.21811079162849	0.0014202424740994	No	No
P47856	Gfpt1	-4.56607697970333	0.0045707927782916	No	No
P48024;Q9CXU9	Eif1;Eif1b	-4.09805398172622	8.17281094384837e-05	No	No
P48025	Syk	-4.56378496781779	0.0011890502472078	No	No
P49446	Ptpre	-3.51273323601243	0.0027285816092867	No	No
P49718	Mcm5	-3.34563488074901	0.0064660445681611	No	No
P49962	Srp9	-6.09808786736262	4.02727920831951e-06	No	No
P50295	Nat2	-2.58264838983801	0.0001231411813906	No	No
P50431	Shmt1	-2.96379435347972	0.0016090207361258	No	No
P51174	Acadl	-3.00484120121584	4.81508873548823e-05	No	No
P51437	Camp	-7.22008220600293	1.2221785338659199e-13	No	No
P51863	Atp6v0d1	-3.76562131149198	0.0017848867070179	No	No
P51880	Fabp7	-2.23358505833351	0.0041393870319457	No	No
P52293	Kpna2	-4.33319904753442	2.93536741507709e-06	No	No
P52624	Upp1	-2.35771051415008	0.00180598992287	No	No
P52633	Stat6	-3.06670564447251	0.003548301214399	No	No
P53996	Cnbp	-4.37427327005999	4.70690542422385e-07	No	No
P54731	Faf1	-3.76673604838578	0.0008146704940062	No	No
P54775	Psmc4	-3.49853329506982	0.0094318929978981	No	No
P54822	Adsl	-2.24360648257083	0.0001511081109329	No	No
P56380	Nudt2	-4.0456471425346	0.007046181068353	No	No
P56477	Irf5	-4.88182599617439	1.71779815279212e-06	No	No
P56546	Ctbp2	-3.32265684299171	0.0002665220870521	No	No
P58058	Nadk	-4.72752570115325	9.10406480266597e-07	No	No
P58389	Ptpa	-2.34990028620923	0.0003328937353142	No	No
P58404	Strn4	-2.95127928597765	0.0047649402080838	No	No
P60670	Nploc4	-2.69673403945719	0.0070930213900968	No	No
P61079	Ube2d3	-2.13673549097917	0.0096882352820727	No	No
P61082	Ube2m	-4.19922210008431	0.0005673551528291	No	No
P61202	Cops2	-3.04100658982393	0.0066170621761904	No	No
P61255	Rpl26	-3.59034029473879	0.0047878841812544	No	No
P61957	Sumo2	-2.32927800465145	0.0036819147563356	No	No
P61965	Wdr5	-4.41915919170326	0.0021479468608911	No	No
P62192	Psmc1	-2.76423966578205	0.0085238490472585	No	No
P62806	H4f16	-3.99907437702349	6.17960088186915e-05	No	No
P62897	Cycs	-3.33209585762974	1.70659221332657e-05	No	No
P62996	Tra2b	-4.34616142188253	0.003166075282057	No	No
P63073	Eif4e	-3.84937172709325	0.0035524572675278	No	No
P63154	Crnkl1	-5.48772861756294	7.24497666656878e-06	No	No
P63254	Crip1	-4.0051234046782	0.0001375511735541	No	No
P68181	Prkacb	-4.71454363333211	1.22675889253101e-08	No	No
P68369	Tuba1a	-2.30496850257408	0.0040002307246723	No	No
P68373	Tuba1c	-2.55743906237275	0.0070305918060425	No	No
P68433;P84228	H3c11;H3c15	-5.79403558061731	1.35938474602822e-08	No	No
P69566	Ranbp9	-5.75190068292171	1.23769799399849e-05	No	No
P70248	Myo1f	-2.89795277238464	0.0041214275341048	No	No
P70271	Pdlim4	-4.3664860025524	0.0007291549882708	No	No
P70303	Ctps2	-3.940036800446	0.0068840291251674	No	No
P70315	Was	-2.73473624762538	0.0047026326556988	No	No
P70318	Tial1	-3.86450604093934	0.0063660218099359	No	No
P70335	Rock1	-2.8097251545667	0.0024922348421785	No	No
P70349	Hint1	-7.12355350806546	2.39230363664784e-10	No	No
P70388	Rad50	-3.91021211911888	9.14828714552698e-06	No	No
P70398	Usp9x	-5.10549175603327	0.0001839326705763	No	No
P70441	Slc9a3r1	-5.29491453408682	4.95396881401915e-05	No	No
P70677	Casp3	-4.43213376710609	9.62224342180082e-05	No	No
P70694	Akr1c6	-4.29866727209744	0.0047600423235761	No	No
P70697	Urod	-4.71359309779903	0.0001928142064293	No	No
P80314	Cct2	-2.17411462101034	0.007688649281094	No	No
P83882	Rpl36a	-4.87381414836931	0.0003887402313648	No	No
P97310	Mcm2	-4.24863079541158	0.0004734704200641	No	No
P97311	Mcm6	-6.28369662649285	3.8390311096799e-06	No	No
P97351	Rps3a	-3.4362018902393	0.0083029321538782	No	No
P97355	Sms	-3.27421883335678	0.0013806553055844	No	No
P97364	Sephs2	-4.20471508404085	0.0001306282194689	No	No
P97369	Ncf4	-2.57471439979116	0.0022388888229962	No	No
P97377	Cdk2	-3.30726030633333	0.0025649781775503	No	No
P97470	Ppp4c	-2.56067366435842	0.0052995109370051	No	No
P97807	Fh	-3.17747819394125	0.0002960470516233	No	No
P97814	Pstpip1	-6.37414954512945	1.97253798322181e-06	No	No
P97820	Map4k4	-4.60325041499108	0.0099695791248697	No	No
P97822	Anp32e	-2.35061350367675	0.0034395617971373	No	No
P98086	C1qa	-5.96205229533784	4.7851715681266e-11	No	No
P99029	Prdx5	-2.6401179453888	0.0002876464058495	No	No
Q000W5	Gbp10	-3.56454942809238	0.0008583284315916	No	No
Q00422	Gabpa	-4.88978682696132	4.02020417286902e-05	No	No
Q00519	Xdh	-4.78265267558984	1.20761922838579e-08	No	No
Q00612	G6pdx	-2.66257691587295	0.00082048288924	No	No
Q00PI9	Hnrnpul2	-2.71402365756793	0.00657636254175	No	No
Q01514	Gbp1	-7.92278597070433	7.20170337456012e-10	No	No
Q01730	Rsu1	-4.52277663018436	0.0002961791615935	No	No
Q02053	Uba1	-2.31388240213214	0.0007841617612536	No	No
Q02105	C1qc	-2.71608951846923	0.0049801358302665	No	No
Q03958	Pfdn6	-5.70854340110617	1.78071397625097e-06	No	No
Q04447	Ckb	-3.11765030330015	0.0039656459586545	No	No
Q04750	Top1	-6.61311986622736	0.0004782439479203	No	No
Q05144	Rac2	-3.81644190544389	1.47804642555986e-06	No	No
Q05793	Hspg2	-3.09123174805279	0.0044757813144877	No	No
Q08024	Cbfb	-4.27262786207815	1.26438967447875e-05	No	No
Q08093	Cnn2	-2.72651304058681	0.002264391586717	No	No
Q08642	Padi2	-4.7721709939854	1.01295543176265e-05	No	No
Q08943	Ssrp1	-3.76990445571506	0.0001847479638092	No	No
Q09014	Ncf1	-5.51009208406156	2.23822921884783e-05	No	No
Q3T9E4;Q62293	Tgtp1;Tgtp2	-3.8284642385056	9.0833802052929e-07	No	No
Q3TBD2	Arhgap45	-5.79121823596598	1.74712960817479e-06	No	No
Q3TDX8	Cyb5r4	-2.87270302450866	0.0082248548145192	No	No
Q3TEA8	Hp1bp3	-6.85559191121122	4.93880738638812e-06	No	No
Q3THK7	Gmps	-4.55540459146063	0.0008145420725223	No	No
Q3TIX9	Usp39	-5.07150592162717	1.47281174449413e-05	No	No
Q3TKT4	Smarca4	-4.65832978098388	0.0006502304897334	No	No
Q3TPX4	Exoc5	-6.13207012929108	3.80646809226063e-05	No	No
Q3TRM8	Hk3	-3.882597180095	1.26910887635631e-08	No	No
Q3TWW8	Srsf6	-5.01586615558009	0.0008644601243137	No	No
Q3U487	Hectd3	-3.754171481401	0.00074215606629	No	No
Q3U5Q7	Cmpk2	-7.74251067740797	5.05293118075304e-10	No	No
Q3U9G9	Lbr	-6.7818971002602	9.225201401535669e-11	No	No
Q3UA06	Trip13	-4.34726191220492	4.88270584256177e-05	No	No
Q3UCV8	Otulin	-5.50344087206013	4.5592015566638806e-09	No	No
Q3UEB3	Puf60	-4.55752397197908	0.0010497236568467	No	No
Q3UHD6	Snx27	-4.57197657835522	0.0063322458653195	No	No
Q3UI43	Babam1	-4.14264323162853	0.00251460636248	No	No
Q3UJB0	Sf3b2	-3.97166001468481	0.0055093664136242	No	No
Q3UJB9	Edc4	-2.84752763882032	0.008517059478264	No	No
Q3UL36	Arglu1	-6.9757725735172	1.48868295034712e-08	No	No
Q3UMU9	Hdgfl2	-3.55514010155105	0.0001765144214575	No	No
Q3UND0	Skap2	-6.34458502421283	6.65624484401733e-08	No	No
Q3UP87	Elane	-9.86846657772443	3.71439453530616e-16	No	No
Q3UQN2	Fcho2	-5.513510686967	0.0003337963901152	No	No
Q3UR70	Tgfbrap1	-3.40792819625683	0.0030320368880175	No	No
Q3UYV9	Ncbp1	-3.76117913048953	0.0021307996715947	No	No
Q3UZA1	Rcsd1	-7.22134654764028	1.42991456749116e-07	No	No
Q3UZZ4	Olfm4	-10.7661793837979	7.16657107898124e-11	No	No
Q4FK66	Prpf38a	-5.33901020152531	1.51759373313802e-05	No	No
Q4LDD4	Arap1	-4.07057536779209	0.0009908812711936	No	No
Q4VA53	Pds5b	-2.96554272490097	0.003714678934329	No	No
Q4VC33	Maea	-3.75272531822387	0.0003382535712765	No	No
Q501J6	Ddx17	-4.9127634704089	0.0002166815922461	No	No
Q505B7	Zbtb8os	-3.45762625709518	0.0003553071640355	No	No
Q505F5	Lrrc47	-5.32028301081613	0.0007036710950054	No	No
Q52KI8	Srrm1	-8.08458284764584	6.9830070867017e-09	No	No
Q569Z6	Thrap3	-9.47382574326578	3.66620477447814e-06	No	No
Q571I9	Aldh16a1	-2.04789791949595	0.0002867460838853	No	No
Q5DTM8	Rnf20	-3.66249875809768	6.19950920552273e-05	No	No
Q5EG47	Prkaa1	-2.1701098046062	0.0063733149280747	No	No
Q5FWK3	Arhgap1	-2.52328714121068	0.0064038262566278	No	No
Q5PRF0	Heatr5a	-4.18434892175459	8.66866621443404e-08	No	No
Q5SQX6	Cyfip2	-2.28916955195308	0.0087324492830287	No	No
Q5SRY7	Fbxw11	-3.54976266474968	0.0046272035748119	No	No
Q5SSH7	Zzef1	-2.52284598283446	0.0036332491552443	No	No
Q5SUF2	Luc7l3	-3.40630627035721	0.0023729157908624	No	No
Q5SUR0	Pfas	-4.6491600058035	1.9794961368257e-05	No	No
Q5SWU9	Acaca	-5.22534067657423	0.0008085751797408	No	No
Q5U4D9	Thoc6	-5.7474338976513	8.26573354829948e-07	No	No
Q5XJE5	Leo1	-3.21509818116813	0.0006383420713355	No	No
Q60631	Grb2	-2.19465089123671	0.0085488421844727	No	No
Q60668	Hnrnpd	-3.6081407090474	0.0024211486107749	No	No
Q60710	Samhd1	-2.1027999448136	7.79406279580133e-05	No	No
Q60737	Csnk2a1	-3.06114815877293	0.0068575507186466	No	No
Q60855	Ripk1	-3.26162469504892	0.0046063241806447	No	No
Q60902	Eps15l1	-5.86080315316999	2.19252302461552e-08	No	No
Q60949	Tbc1d1	-4.81657019316565	6.37916324431635e-06	No	No
Q60963	Pla2g7	-6.4164267368334	9.393087739444209e-12	No	No
Q60972	Rbbp4	-2.34437434036363	0.0007957273160074	No	No
Q60973	Rbbp7	-2.00717269134805	0.0059915980690766	No	No
Q60996	Ppp2r5c	-5.27778516906164	1.46692228774379e-05	No	No
Q61033	Tmpo	-2.57932941940201	0.005886852429054	No	No
Q61074	Ppm1g	-3.23804650550237	0.0021387236225431	No	No
Q61096	Prtn3	-5.98318219572335	2.0440704502321e-11	No	No
Q61107	Gbp4	-4.28561224481132	1.1124767256608e-06	No	No
Q61133	Gstt2	-3.89426414924387	2.76378251879083e-06	No	No
Q61151	Ppp2r5e	-5.67420859653992	3.04301293828567e-05	No	No
Q61183	Papola	-3.69370253506753	0.0052894808642703	No	No
Q61187	Tsg101	-2.90538007618931	0.0061657055492683	No	No
Q61205	Pafah1b3	-5.65178673770021	5.57768528672543e-06	No	No
Q61210	Arhgef1	-3.46599803813412	0.0026594643110063	No	No
Q61239	Fnta	-4.8355399571862	0.0015498198513486	No	No
Q61333	Tnfaip2	-3.68806525013386	0.0075075276225548	No	No
Q61362	Chi3l1	-6.06443080434475	1.75657898681434e-08	No	No
Q61510	Trim25	-4.91196312458067	5.64112686400904e-05	No	No
Q61550	Rad21	-2.4465569972686	0.0074320978641274	No	No
Q61599	Arhgdib	-2.95189228012702	2.65158222857871e-06	No	No
Q61635	Ifi47	-4.79923337847953	5.08472924975667e-05	No	No
Q61646	Hp	-6.46468976494086	5.34239433620379e-10	No	No
Q61687	Atrx	-4.58019555006498	2.00012364597997e-05	No	No
Q61749	Eif2b4	-5.88811780613417	3.26778089223409e-07	No	No
Q61792	Lasp1	-2.6747243574034	0.0029074450055465	No	No
Q61805	Lbp	-6.73032997362305	4.1821392330316e-09	No	No
Q61881	Mcm7	-3.80581894663567	0.0063419095377317	No	No
Q61937	Npm1	-2.73799339338012	0.0024716834273044	No	No
Q62093	Srsf2	-3.35026451986201	0.0013603624718894	No	No
Q62148	Aldh1a2	-4.97276506737948	8.11698441014446e-10	No	No
Q62191	Trim21	-3.73379018580489	0.0004601326050334	No	No
Q62261	Sptbn1	-3.03694556368918	0.0039614319014694	No	No
Q62318	Trim28	-3.83384677224224	0.0035198345284066	No	No
Q62376	Snrnp70	-5.3605145149826	0.0009775954009735	No	No
Q62419	Sh3gl1	-5.36887487399682	2.5082647573897e-05	No	No
Q62422	Ostf1	-2.13693778632604	0.0020742460935386	No	No
Q640N3	Arhgap30	-6.0082412719872	1.49362483926492e-05	No	No
Q64105	Spr	-3.40599232601057	0.0070908026371103	No	No
Q64282	Ifit1	-2.9666075292163	0.0015783874531381	No	No
Q64339	Isg15	-3.49636420683671	0.000304822853075	No	No
Q64511	Top2b	-6.74880417914487	3.16350325367342e-06	No	No
Q64514	Tpp2	-3.19885220926992	0.0018702215916754	No	No
Q64522	H2ac21	-3.91412417819237	7.71739808769981e-05	No	No
Q64523;Q6GSS7;Q8R1M2	H2ac20;H2aj;Hist2h2aa2	-3.79293384460376	2.76317658013045e-05	No	No
Q64674	Srm	-4.40378299727955	0.0031793383528949	No	No
Q64727	Vcl	-4.03639987557759	0.0001204988648472	No	No
Q68FH4	Galk2	-5.68913335669403	0.0003929290437808	No	No
